year,pop,city_st
1910,2907,"Abbeville, LA"
1911,2982.273582315945,"Abbeville, LA"
1912,3050.250813006125,"Abbeville, LA"
1913,3112.011692070539,"Abbeville, LA"
1914,3168.6362195091874,"Abbeville, LA"
1915,3221.20439532207,"Abbeville, LA"
1916,3270.7962195091873,"Abbeville, LA"
1917,3318.491692070539,"Abbeville, LA"
1918,3365.370813006125,"Abbeville, LA"
1919,3412.5135823159453,"Abbeville, LA"
1920,3461,"Abbeville, LA"
1921,3512.0087012208655,"Abbeville, LA"
1922,3567.112861791425,"Abbeville, LA"
1923,3627.984292687138,"Abbeville, LA"
1924,3696.294804883463,"Abbeville, LA"
1925,3773.71620935586,"Abbeville, LA"
1926,3861.9203170797878,"Abbeville, LA"
1927,3962.578939030707,"Abbeville, LA"
1928,4077.3638861840755,"Abbeville, LA"
1929,4207.946969515353,"Abbeville, LA"
1930,4356,"Abbeville, LA"
1931,4522.701612800592,"Abbeville, LA"
1932,4707.257739828175,"Abbeville, LA"
1933,4908.38113718091,"Abbeville, LA"
1934,5124.784560956961,"Abbeville, LA"
1935,5355.180767254491,"Abbeville, LA"
1936,5598.282512171661,"Abbeville, LA"
1937,5852.802551806635,"Abbeville, LA"
1938,6117.453642257574,"Abbeville, LA"
1939,6390.948539622641,"Abbeville, LA"
1940,6672,"Abbeville, LA"
1941,6959.043847576767,"Abbeville, LA"
1942,7249.408178895877,"Abbeville, LA"
1943,7540.144158589222,"Abbeville, LA"
1944,7828.3029512886915,"Abbeville, LA"
1945,8110.935721626177,"Abbeville, LA"
1946,8385.093634233568,"Abbeville, LA"
1947,8647.827853742756,"Abbeville, LA"
1948,8896.18954478563,"Abbeville, LA"
1949,9127.22987199408,"Abbeville, LA"
1950,9338,"Abbeville, LA"
1951,9526.282996892342,"Abbeville, LA"
1952,9692.789544588317,"Abbeville, LA"
1953,9838.962228462202,"Abbeville, LA"
1954,9966.243633888273,"Abbeville, LA"
1955,10076.076346240803,"Abbeville, LA"
1956,10169.90295089407,"Abbeville, LA"
1957,10249.166033222346,"Abbeville, LA"
1958,10315.30817859991,"Abbeville, LA"
1959,10369.771972401037,"Abbeville, LA"
1960,10414,"Abbeville, LA"
1961,10449.820164853865,"Abbeville, LA"
1962,10480.601642750853,"Abbeville, LA"
1963,10510.098927561969,"Abbeville, LA"
1964,10542.06651315822,"Abbeville, LA"
1965,10580.258893410613,"Abbeville, LA"
1966,10628.430562190159,"Abbeville, LA"
1967,10690.336013367863,"Abbeville, LA"
1968,10769.729740814733,"Abbeville, LA"
1969,10870.366238401775,"Abbeville, LA"
1970,10996,"Abbeville, LA"
1971,11148.323343692195,"Abbeville, LA"
1972,11320.77988440827,"Abbeville, LA"
1973,11504.751061289924,"Abbeville, LA"
1974,11691.618313478852,"Abbeville, LA"
1975,11872.763080116743,"Abbeville, LA"
1976,12039.566800345296,"Abbeville, LA"
1977,12183.410913306203,"Abbeville, LA"
1978,12295.67685814116,"Abbeville, LA"
1979,12367.74607399186,"Abbeville, LA"
1980,12391,"Abbeville, LA"
1981,12359.964460377358,"Abbeville, LA"
1982,12281.742819616064,"Abbeville, LA"
1983,12166.582827278333,"Abbeville, LA"
1984,12024.732232926379,"Abbeville, LA"
1985,11866.438786122415,"Abbeville, LA"
1986,11701.95023642866,"Abbeville, LA"
1987,11541.514333407325,"Abbeville, LA"
1988,11395.378826620627,"Abbeville, LA"
1989,11273.79146563078,"Abbeville, LA"
1990,11187,"Abbeville, LA"
1991,11142.651814798372,"Abbeville, LA"
1992,11137.992837127471,"Abbeville, LA"
1993,11167.668629596745,"Abbeville, LA"
1994,11226.324754815638,"Abbeville, LA"
1995,11308.606775393595,"Abbeville, LA"
1996,11409.160253940066,"Abbeville, LA"
1997,11522.630753064497,"Abbeville, LA"
1998,11643.66383537633,"Abbeville, LA"
1999,11766.905063485017,"Abbeville, LA"
2000,11887,"Abbeville, LA"
2001,11999.114280429152,"Abbeville, LA"
2002,12100.49383187405,"Abbeville, LA"
2003,12188.90465433469,"Abbeville, LA"
2004,12262.112747811074,"Abbeville, LA"
2005,12317.884112303202,"Abbeville, LA"
2006,12353.984747811073,"Abbeville, LA"
2007,12368.18065433469,"Abbeville, LA"
2008,12358.23783187405,"Abbeville, LA"
2009,12321.922280429153,"Abbeville, LA"
2010,12257,"Abbeville, LA"
1950,2944,"Aberdeen, MD"
1951,3792.6851507177034,"Aberdeen, MD"
1952,4601.104267942584,"Aberdeen, MD"
1953,5369.758351674641,"Aberdeen, MD"
1954,6099.148401913875,"Aberdeen, MD"
1955,6789.775418660287,"Aberdeen, MD"
1956,7442.140401913875,"Aberdeen, MD"
1957,8056.744351674641,"Aberdeen, MD"
1958,8634.088267942583,"Aberdeen, MD"
1959,9174.673150717703,"Aberdeen, MD"
1960,9679,"Aberdeen, MD"
1961,10147.106519138755,"Aberdeen, MD"
1962,10577.177224880383,"Aberdeen, MD"
1963,10966.933337320574,"Aberdeen, MD"
1964,11314.096076555024,"Aberdeen, MD"
1965,11616.386662679426,"Aberdeen, MD"
1966,11871.526315789473,"Aberdeen, MD"
1967,12077.23625598086,"Aberdeen, MD"
1968,12231.237703349283,"Aberdeen, MD"
1969,12331.251877990431,"Aberdeen, MD"
1970,12375,"Aberdeen, MD"
1971,12362.519772727273,"Aberdeen, MD"
1972,12303.114832535884,"Aberdeen, MD"
1973,12208.405299043063,"Aberdeen, MD"
1974,12090.011291866029,"Aberdeen, MD"
1975,11959.552930622009,"Aberdeen, MD"
1976,11828.65033492823,"Aberdeen, MD"
1977,11708.923624401914,"Aberdeen, MD"
1978,11611.992918660288,"Aberdeen, MD"
1979,11549.478337320574,"Aberdeen, MD"
1980,11533,"Aberdeen, MD"
1981,11570.808389952153,"Aberdeen, MD"
1982,11657.675444976077,"Aberdeen, MD"
1983,11785.003466507176,"Aberdeen, MD"
1984,11944.194755980861,"Aberdeen, MD"
1985,12126.651614832535,"Aberdeen, MD"
1986,12323.776344497608,"Aberdeen, MD"
1987,12526.971246411484,"Aberdeen, MD"
1988,12727.63862200957,"Aberdeen, MD"
1989,12917.180772727274,"Aberdeen, MD"
1990,13087,"Aberdeen, MD"
1991,13230.531667464114,"Aberdeen, MD"
1992,13349.34338755981,"Aberdeen, MD"
1993,13447.03583492823,"Aberdeen, MD"
1994,13527.209684210526,"Aberdeen, MD"
1995,13593.465610047848,"Aberdeen, MD"
1996,13649.40428708134,"Aberdeen, MD"
1997,13698.626389952153,"Aberdeen, MD"
1998,13744.732593301436,"Aberdeen, MD"
1999,13791.323571770336,"Aberdeen, MD"
2000,13842,"Aberdeen, MD"
2001,13899.955940191388,"Aberdeen, MD"
2002,13966.75900478469,"Aberdeen, MD"
2003,14043.570193779904,"Aberdeen, MD"
2004,14131.550507177033,"Aberdeen, MD"
2005,14231.860944976077,"Aberdeen, MD"
2006,14345.662507177034,"Aberdeen, MD"
2007,14474.116193779904,"Aberdeen, MD"
2008,14618.38300478469,"Aberdeen, MD"
2009,14779.623940191388,"Aberdeen, MD"
2010,14959,"Aberdeen, MD"
1900,3747,"Aberdeen, WA"
1901,5568.572394029712,"Aberdeen, WA"
1902,7171.119811608378,"Aberdeen, WA"
1903,8567.587252735997,"Aberdeen, WA"
1904,9770.919717412566,"Aberdeen, WA"
1905,10794.062205638089,"Aberdeen, WA"
1906,11649.959717412567,"Aberdeen, WA"
1907,12351.557252735995,"Aberdeen, WA"
1908,12911.799811608376,"Aberdeen, WA"
1909,13343.63239402971,"Aberdeen, WA"
1910,13659.999999999998,"Aberdeen, WA"
1911,13875.863627164345,"Aberdeen, WA"
1912,14014.24826374827,"Aberdeen, WA"
1913,14100.194895622406,"Aberdeen, WA"
1914,14158.744508657379,"Aberdeen, WA"
1915,14214.938088723819,"Aberdeen, WA"
1916,14293.816621692353,"Aberdeen, WA"
1917,14420.42109343361,"Aberdeen, WA"
1918,14619.792489818217,"Aberdeen, WA"
1919,14916.971796716805,"Aberdeen, WA"
1920,15337,"Aberdeen, WA"
1921,15894.838097312908,"Aberdeen, WA"
1922,16565.12713339854,"Aberdeen, WA"
1923,17312.428164774377,"Aberdeen, WA"
1924,18101.302247957916,"Aberdeen, WA"
1925,18896.310439466633,"Aberdeen, WA"
1926,19662.013795818024,"Aberdeen, WA"
1927,20362.973373529567,"Aberdeen, WA"
1928,20963.750229118756,"Aberdeen, WA"
1929,21428.90541910307,"Aberdeen, WA"
1930,21723,"Aberdeen, WA"
1931,21821.981983584024,"Aberdeen, WA"
1932,21747.347202657573,"Aberdeen, WA"
1933,21531.978445280078,"Aberdeen, WA"
1934,21208.758499510957,"Aberdeen, WA"
1935,20810.57015340964,"Aberdeen, WA"
1936,20370.296195035557,"Aberdeen, WA"
1937,19920.819412448123,"Aberdeen, WA"
1938,19495.02259370677,"Aberdeen, WA"
1939,19125.78852687092,"Aberdeen, WA"
1940,18846,"Aberdeen, WA"
1941,18679.990968351,"Aberdeen, WA"
1942,18617.900055971168,"Aberdeen, WA"
1943,18641.317054105315,"Aberdeen, WA"
1944,18731.831753998256,"Aberdeen, WA"
1945,18871.033946894797,"Aberdeen, WA"
1946,19040.513424039757,"Aberdeen, WA"
1947,19221.859976677944,"Aberdeen, WA"
1948,19396.663396054173,"Aberdeen, WA"
1949,19546.513473413255,"Aberdeen, WA"
1950,19653,"Aberdeen, WA"
1951,19702.171143011976,"Aberdeen, WA"
1952,19697.908573457753,"Aberdeen, WA"
1953,19648.55233829866,"Aberdeen, WA"
1954,19562.442484496023,"Aberdeen, WA"
1955,19447.919059011165,"Aberdeen, WA"
1956,19313.322108805412,"Aberdeen, WA"
1957,19166.991680840096,"Aberdeen, WA"
1958,19017.267822076537,"Aberdeen, WA"
1959,18872.490579476063,"Aberdeen, WA"
1960,18741,"Aberdeen, WA"
1961,18629.6334596011,"Aberdeen, WA"
1962,18539.21765019782,"Aberdeen, WA"
1963,18469.076592700047,"Aberdeen, WA"
1964,18418.534308017657,"Aberdeen, WA"
1965,18386.914817060544,"Aberdeen, WA"
1966,18373.542140738587,"Aberdeen, WA"
1967,18377.740299961668,"Aberdeen, WA"
1968,18398.833315639677,"Aberdeen, WA"
1969,18436.145208682494,"Aberdeen, WA"
1970,18489,"Aberdeen, WA"
1971,18555.737018583626,"Aberdeen, WA"
1972,18630.756825750967,"Aberdeen, WA"
1973,18707.475290901162,"Aberdeen, WA"
1974,18779.308283433344,"Aberdeen, WA"
1975,18839.67167274666,"Aberdeen, WA"
1976,18881.98132824024,"Aberdeen, WA"
1977,18899.653119313225,"Aberdeen, WA"
1978,18886.102915364754,"Aberdeen, WA"
1979,18834.746585793968,"Aberdeen, WA"
1980,18739,"Aberdeen, WA"
1981,18594.952466064395,"Aberdeen, WA"
1982,18409.38704679831,"Aberdeen, WA"
1983,18191.760243695313,"Aberdeen, WA"
1984,17951.528558248963,"Aberdeen, WA"
1985,17698.148491952823,"Aberdeen, WA"
1986,17441.076546300457,"Aberdeen, WA"
1987,17189.769222785428,"Aberdeen, WA"
1988,16953.683022901303,"Aberdeen, WA"
1989,16742.274448141638,"Aberdeen, WA"
1990,16565,"Aberdeen, WA"
1991,16429.027117158792,"Aberdeen, WA"
1992,16332.366987055786,"Aberdeen, WA"
1993,16270.741734317588,"Aberdeen, WA"
1994,16239.873483570806,"Aberdeen, WA"
1995,16235.48435944205,"Aberdeen, WA"
1996,16253.296486557932,"Aberdeen, WA"
1997,16289.031989545058,"Aberdeen, WA"
1998,16338.412993030039,"Aberdeen, WA"
1999,16397.161621639483,"Aberdeen, WA"
2000,16461,"Aberdeen, WA"
2001,16526.108065300432,"Aberdeen, WA"
2002,16590.497004978544,"Aberdeen, WA"
2003,16652.635819034338,"Aberdeen, WA"
2004,16710.993507467814,"Aberdeen, WA"
2005,16764.039070278974,"Aberdeen, WA"
2006,16810.241507467817,"Aberdeen, WA"
2007,16848.06981903434,"Aberdeen, WA"
2008,16875.993004978543,"Aberdeen, WA"
2009,16892.48006530043,"Aberdeen, WA"
2010,16896,"Aberdeen, WA"
1890,4260,"Abington, MA"
1891,4205.927526785715,"Abington, MA"
1892,4172.616047619048,"Abington, MA"
1893,4158.6945625,"Abington, MA"
1894,4162.792071428571,"Abington, MA"
1895,4183.5375744047615,"Abington, MA"
1896,4219.560071428571,"Abington, MA"
1897,4269.4885625,"Abington, MA"
1898,4331.952047619047,"Abington, MA"
1899,4405.579526785714,"Abington, MA"
1900,4489,"Abington, MA"
1901,4580.737267857143,"Abington, MA"
1902,4678.894333333334,"Abington, MA"
1903,4781.469,"Abington, MA"
1904,4886.459071428571,"Abington, MA"
1905,4991.862351190476,"Abington, MA"
1906,5095.676642857143,"Abington, MA"
1907,5195.89975,"Abington, MA"
1908,5290.529476190476,"Abington, MA"
1909,5377.563625,"Abington, MA"
1910,5455,"Abington, MA"
1911,5521.362401785715,"Abington, MA"
1912,5577.278619047619,"Abington, MA"
1913,5623.9024375,"Abington, MA"
1914,5662.387642857143,"Abington, MA"
1915,5693.888020833333,"Abington, MA"
1916,5719.557357142858,"Abington, MA"
1917,5740.5494375,"Abington, MA"
1918,5758.018047619048,"Abington, MA"
1919,5773.116973214286,"Abington, MA"
1920,5787,"Abington, MA"
1921,5800.580125,"Abington, MA"
1922,5813.80719047619,"Abington, MA"
1923,5826.39025,"Abington, MA"
1924,5838.038357142857,"Abington, MA"
1925,5848.460565476191,"Abington, MA"
1926,5857.365928571428,"Abington, MA"
1927,5864.4635,"Abington, MA"
1928,5869.462333333333,"Abington, MA"
1929,5872.071482142857,"Abington, MA"
1930,5872,"Abington, MA"
1931,5869.005098214286,"Abington, MA"
1932,5863.036619047619,"Abington, MA"
1933,5854.0925625,"Abington, MA"
1934,5842.170928571429,"Abington, MA"
1935,5827.269717261905,"Abington, MA"
1936,5809.386928571428,"Abington, MA"
1937,5788.5205625,"Abington, MA"
1938,5764.668619047619,"Abington, MA"
1939,5737.829098214286,"Abington, MA"
1940,5708,"Abington, MA"
1930,18648,"Abington, PA"
1931,18868.9,"Abington, PA"
1932,19089.8,"Abington, PA"
1933,19310.7,"Abington, PA"
1934,19531.6,"Abington, PA"
1935,19752.5,"Abington, PA"
1936,19973.4,"Abington, PA"
1937,20194.3,"Abington, PA"
1938,20415.2,"Abington, PA"
1939,20636.1,"Abington, PA"
1940,20857,"Abington, PA"
1960,4320,"Absecon, NJ"
1961,4563.635098214286,"Absecon, NJ"
1962,4790.7299523809525,"Absecon, NJ"
1963,5001.9675625,"Absecon, NJ"
1964,5198.030928571428,"Absecon, NJ"
1965,5379.6030505952385,"Absecon, NJ"
1966,5547.366928571429,"Absecon, NJ"
1967,5702.0055625,"Absecon, NJ"
1968,5844.201952380952,"Absecon, NJ"
1969,5974.639098214286,"Absecon, NJ"
1970,6094,"Absecon, NJ"
1971,6202.997982142857,"Absecon, NJ"
1972,6302.467666666666,"Absecon, NJ"
1973,6393.274,"Absecon, NJ"
1974,6476.281928571429,"Absecon, NJ"
1975,6552.356398809524,"Absecon, NJ"
1976,6622.362357142857,"Absecon, NJ"
1977,6687.16475,"Absecon, NJ"
1978,6747.628523809524,"Absecon, NJ"
1979,6804.618625,"Absecon, NJ"
1980,6859,"Absecon, NJ"
1981,6911.485973214286,"Absecon, NJ"
1982,6962.1833809523805,"Absecon, NJ"
1983,7011.0474375,"Absecon, NJ"
1984,7058.033357142857,"Absecon, NJ"
1985,7103.096354166667,"Absecon, NJ"
1986,7146.191642857143,"Absecon, NJ"
1987,7187.2744375,"Absecon, NJ"
1988,7226.299952380952,"Absecon, NJ"
1989,7263.2234017857145,"Absecon, NJ"
1990,7298,"Absecon, NJ"
1991,7330.705125,"Absecon, NJ"
1992,7361.894809523809,"Absecon, NJ"
1993,7392.24525,"Absecon, NJ"
1994,7422.432642857143,"Absecon, NJ"
1995,7453.133184523809,"Absecon, NJ"
1996,7485.023071428572,"Absecon, NJ"
1997,7518.7785,"Absecon, NJ"
1998,7555.075666666667,"Absecon, NJ"
1999,7594.590767857143,"Absecon, NJ"
2000,7638,"Absecon, NJ"
2001,7685.955526785714,"Absecon, NJ"
2002,7739.013380952381,"Absecon, NJ"
2003,7797.7055625,"Absecon, NJ"
2004,7862.564071428572,"Absecon, NJ"
2005,7934.120907738095,"Absecon, NJ"
2006,8012.908071428572,"Absecon, NJ"
2007,8099.4575625,"Absecon, NJ"
2008,8194.301380952382,"Absecon, NJ"
2009,8297.971526785714,"Absecon, NJ"
2010,8411,"Absecon, NJ"
1980,11399,"Agoura Hills, CA"
1981,12938.045,"Agoura Hills, CA"
1982,14312.24,"Agoura Hills, CA"
1983,15530.075,"Agoura Hills, CA"
1984,16600.04,"Agoura Hills, CA"
1985,17530.625,"Agoura Hills, CA"
1986,18330.32,"Agoura Hills, CA"
1987,19007.615,"Agoura Hills, CA"
1988,19571,"Agoura Hills, CA"
1989,20028.965,"Agoura Hills, CA"
1990,20390,"Agoura Hills, CA"
1991,20662.595,"Agoura Hills, CA"
1992,20855.24,"Agoura Hills, CA"
1993,20976.425,"Agoura Hills, CA"
1994,21034.64,"Agoura Hills, CA"
1995,21038.375,"Agoura Hills, CA"
1996,20996.12,"Agoura Hills, CA"
1997,20916.365,"Agoura Hills, CA"
1998,20807.6,"Agoura Hills, CA"
1999,20678.315,"Agoura Hills, CA"
2000,20537,"Agoura Hills, CA"
2001,20392.145,"Agoura Hills, CA"
2002,20252.24,"Agoura Hills, CA"
2003,20125.775,"Agoura Hills, CA"
2004,20021.24,"Agoura Hills, CA"
2005,19947.125,"Agoura Hills, CA"
2006,19911.920000000002,"Agoura Hills, CA"
2007,19924.115,"Agoura Hills, CA"
2008,19992.2,"Agoura Hills, CA"
2009,20124.665,"Agoura Hills, CA"
2010,20330,"Agoura Hills, CA"
1950,3579,"Ahoskie, NC"
1951,3692.4116172248805,"Ahoskie, NC"
1952,3803.619763955343,"Ahoskie, NC"
1953,3912.3664401913875,"Ahoskie, NC"
1954,4018.3936459330143,"Ahoskie, NC"
1955,4121.443381180224,"Ahoskie, NC"
1956,4221.257645933014,"Ahoskie, NC"
1957,4317.578440191388,"Ahoskie, NC"
1958,4410.147763955343,"Ahoskie, NC"
1959,4498.707617224881,"Ahoskie, NC"
1960,4583,"Ahoskie, NC"
1961,4662.737459330144,"Ahoskie, NC"
1962,4737.51473046252,"Ahoskie, NC"
1963,4806.89709569378,"Ahoskie, NC"
1964,4870.449837320574,"Ahoskie, NC"
1965,4927.7382376395535,"Ahoskie, NC"
1966,4978.327578947368,"Ahoskie, NC"
1967,5021.78314354067,"Ahoskie, NC"
1968,5057.670213716108,"Ahoskie, NC"
1969,5085.554071770335,"Ahoskie, NC"
1970,5105,"Ahoskie, NC"
1971,5115.720545454546,"Ahoskie, NC"
1972,5118.017314194577,"Ahoskie, NC"
1973,5112.339177033493,"Ahoskie, NC"
1974,5099.135004784689,"Ahoskie, NC"
1975,5078.853668261563,"Ahoskie, NC"
1976,5051.944038277512,"Ahoskie, NC"
1977,5018.854985645933,"Ahoskie, NC"
1978,4980.035381180223,"Ahoskie, NC"
1979,4935.93409569378,"Ahoskie, NC"
1980,4887,"Ahoskie, NC"
1981,4833.842358851674,"Ahoskie, NC"
1982,4777.712012759171,"Ahoskie, NC"
1983,4720.020196172249,"Ahoskie, NC"
1984,4662.17814354067,"Ahoskie, NC"
1985,4605.597089314195,"Ahoskie, NC"
1986,4551.6882679425835,"Ahoskie, NC"
1987,4501.862913875598,"Ahoskie, NC"
1988,4457.532261562998,"Ahoskie, NC"
1989,4420.107545454545,"Ahoskie, NC"
1990,4391,"Ahoskie, NC"
1991,4371.276019138756,"Ahoskie, NC"
1992,4360.62263476874,"Ahoskie, NC"
1993,4358.382038277512,"Ahoskie, NC"
1994,4363.896421052632,"Ahoskie, NC"
1995,4376.5079744816585,"Ahoskie, NC"
1996,4395.558889952154,"Ahoskie, NC"
1997,4420.391358851674,"Ahoskie, NC"
1998,4450.347572567784,"Ahoskie, NC"
1999,4484.7697224880385,"Ahoskie, NC"
2000,4523,"Ahoskie, NC"
2001,4564.449564593301,"Ahoskie, NC"
2002,4608.805448165869,"Ahoskie, NC"
2003,4655.8236507177035,"Ahoskie, NC"
2004,4705.260172248803,"Ahoskie, NC"
2005,4756.87101275917,"Ahoskie, NC"
2006,4810.4121722488035,"Ahoskie, NC"
2007,4865.639650717703,"Ahoskie, NC"
2008,4922.309448165869,"Ahoskie, NC"
2009,4980.177564593301,"Ahoskie, NC"
2010,5039,"Ahoskie, NC"
2000,8506,"Ahuimanu, HI"
2001,8536.4,"Ahuimanu, HI"
2002,8566.8,"Ahuimanu, HI"
2003,8597.2,"Ahuimanu, HI"
2004,8627.6,"Ahuimanu, HI"
2005,8658,"Ahuimanu, HI"
2006,8688.4,"Ahuimanu, HI"
2007,8718.8,"Ahuimanu, HI"
2008,8749.2,"Ahuimanu, HI"
2009,8779.6,"Ahuimanu, HI"
2010,8810,"Ahuimanu, HI"
1930,3021,"Aiea, HI"
1931,3441.491771556166,"Aiea, HI"
1932,3758.1711494331844,"Aiea, HI"
1933,3979.3601336310544,"Aiea, HI"
1934,4113.380724149776,"Aiea, HI"
1935,4168.554920989351,"Aiea, HI"
1936,4153.204724149777,"Aiea, HI"
1937,4075.6521336310543,"Aiea, HI"
1938,3944.219149433184,"Aiea, HI"
1939,3767.227771556166,"Aiea, HI"
1940,3553,"Aiea, HI"
1941,3312.3782741326004,"Aiea, HI"
1942,3066.2867907935415,"Aiea, HI"
1943,2838.1701861903125,"Aiea, HI"
1944,2651.473096530402,"Aiea, HI"
1945,2529.6401580212987,"Aiea, HI"
1946,2496.116006870491,"Aiea, HI"
1947,2574.3452792854687,"Aiea, HI"
1948,2787.77261147372,"Aiea, HI"
1949,3159.842639642734,"Aiea, HI"
1950,3713.9999999999995,"Aiea, HI"
1951,4461.087131913432,"Aiea, HI"
1952,5361.537687392649,"Aiea, HI"
1953,6363.183121607695,"Aiea, HI"
1954,7413.854889728616,"Aiea, HI"
1955,8461.384446925455,"Aiea, HI"
1956,9453.60324836826,"Aiea, HI"
1957,10338.342749227071,"Aiea, HI"
1958,11063.434404671934,"Aiea, HI"
1959,11576.709669872896,"Aiea, HI"
1960,11826,"Aiea, HI"
1961,11783.374198213673,"Aiea, HI"
1962,11517.850459635863,"Aiea, HI"
1963,11122.684327378907,"Aiea, HI"
1964,10691.131344555135,"Aiea, HI"
1965,10316.447054276881,"Aiea, HI"
1966,10091.886999656475,"Aiea, HI"
1967,10110.706723806252,"Aiea, HI"
1968,10466.161769838543,"Aiea, HI"
1969,11251.507680865683,"Aiea, HI"
1970,12560,"Aiea, HI"
1971,14442.83907523188,"Aiea, HI"
1972,16783.004474063895,"Aiea, HI"
1973,19421.420568876674,"Aiea, HI"
1974,22199.011732050843,"Aiea, HI"
1975,24956.70233596702,"Aiea, HI"
1976,27535.41675300584,"Aiea, HI"
1977,29776.07935554792,"Aiea, HI"
1978,31519.614515973895,"Aiea, HI"
1979,32606.946606664376,"Aiea, HI"
1980,32879,"Aiea, HI"
1981,32229.842500858813,"Aiea, HI"
1982,30766.115644108555,"Aiea, HI"
1983,28647.604397114395,"Aiea, HI"
1984,26034.0937272415,"Aiea, HI"
1985,23085.368601855032,"Aiea, HI"
1986,19961.213988320167,"Aiea, HI"
1987,16821.41485400206,"Aiea, HI"
1988,13825.756166265892,"Aiea, HI"
1989,11134.022892476816,"Aiea, HI"
1990,8906.000000000004,"Aiea, HI"
1991,7263.208921332875,"Aiea, HI"
1992,6174.116949501889,"Aiea, HI"
1993,5568.927842665751,"Aiea, HI"
1994,5377.845358983168,"Aiea, HI"
1995,5531.073256612849,"Aiea, HI"
1996,5958.815293713501,"Aiea, HI"
1997,6591.275228443834,"Aiea, HI"
1998,7358.656818962558,"Aiea, HI"
1999,8191.1638234283755,"Aiea, HI"
2000,9019.000000000002,"Aiea, HI"
2001,9780.021813809688,"Aiea, HI"
2002,10442.696557883888,"Aiea, HI"
2003,10983.144232222603,"Aiea, HI"
2004,11377.484836825832,"Aiea, HI"
2005,11601.838371693575,"Aiea, HI"
2006,11632.324836825832,"Aiea, HI"
2007,11445.064232222603,"Aiea, HI"
2008,11016.176557883888,"Aiea, HI"
2009,10321.781813809685,"Aiea, HI"
2010,9338,"Aiea, HI"
2010,2965,"Ainaloa, HI"
2000,7799,"Airmont, NY"
2001,7881.9,"Airmont, NY"
2002,7964.8,"Airmont, NY"
2003,8047.7,"Airmont, NY"
2004,8130.6,"Airmont, NY"
2005,8213.5,"Airmont, NY"
2006,8296.4,"Airmont, NY"
2007,8379.3,"Airmont, NY"
2008,8462.2,"Airmont, NY"
2009,8545.1,"Airmont, NY"
2010,8628,"Airmont, NY"
1860,460,"Alameda, CA"
1861,385.4534029588761,"Alameda, CA"
1862,356.5118274824464,"Alameda, CA"
1863,371.4272735707109,"Alameda, CA"
1864,428.4517412236696,"Alameda, CA"
1865,525.8372304413225,"Alameda, CA"
1866,661.8357412236695,"Alameda, CA"
1867,834.6992735707108,"Alameda, CA"
1868,1042.6798274824464,"Alameda, CA"
1869,1284.0294029588763,"Alameda, CA"
1870,1557,"Alameda, CA"
1871,1859.9103164493486,"Alameda, CA"
1872,2191.345841524575,"Alameda, CA"
1873,2549.9587622868626,"Alameda, CA"
1874,2934.4012657973944,"Alameda, CA"
1875,3343.325539117355,"Alameda, CA"
1876,3775.3837693079267,"Alameda, CA"
1877,4229.228143430293,"Alameda, CA"
1878,4703.510848545639,"Alameda, CA"
1879,5196.884071715147,"Alameda, CA"
1880,5708,"Alameda, CA"
1881,6235.177331243729,"Alameda, CA"
1882,6775.400806419254,"Alameda, CA"
1883,7325.32167728184,"Alameda, CA"
1884,7881.591195586752,"Alameda, CA"
1885,8440.860613089259,"Alameda, CA"
1886,8999.781181544624,"Alameda, CA"
1887,9555.004152708116,"Alameda, CA"
1888,10103.180778334998,"Alameda, CA"
1889,10640.962310180537,"Alameda, CA"
1890,11165,"Alameda, CA"
1891,11673.496358575734,"Alameda, CA"
1892,12170.85893279841,"Alameda, CA"
1893,12663.04652858578,"Alameda, CA"
1894,13156.017951855598,"Alameda, CA"
1895,13655.732008525614,"Alameda, CA"
1896,14168.14750451358,"Alameda, CA"
1897,14699.223245737248,"Alameda, CA"
1898,15254.918038114374,"Alameda, CA"
1899,15841.190687562706,"Alameda, CA"
1900,16464,"Alameda, CA"
1901,17126.675234453334,"Alameda, CA"
1902,17822.027462387105,"Alameda, CA"
1903,18540.238208375034,"Alameda, CA"
1904,19271.488996990855,"Alameda, CA"
1905,20005.96135280829,"Alameda, CA"
1906,20733.836800401055,"Alameda, CA"
1907,21445.296864342887,"Alameda, CA"
1908,22130.523069207506,"Alameda, CA"
1909,22779.696939568632,"Alameda, CA"
1910,23383,"Alameda, CA"
1911,23934.686703610932,"Alameda, CA"
1912,24445.303217653174,"Alameda, CA"
1913,24929.468637914073,"Alameda, CA"
1914,25401.80206018098,"Alameda, CA"
1915,25876.922580241237,"Alameda, CA"
1916,26369.449293882197,"Alameda, CA"
1917,26894.001296891205,"Alameda, CA"
1918,27465.19768505561,"Alameda, CA"
1919,28097.657554162757,"Alameda, CA"
1920,28806,"Alameda, CA"
1921,29596.597951102936,"Alameda, CA"
1922,30442.839667000197,"Alameda, CA"
1923,31309.86723996867,"Alameda, CA"
1924,32162.82276228523,"Alameda, CA"
1925,32966.84832622676,"Alameda, CA"
1926,33687.08602407016,"Alameda, CA"
1927,34288.67794809229,"Alameda, CA"
1928,34736.76619057006,"Alameda, CA"
1929,34996.49284378033,"Alameda, CA"
1930,35033,"Alameda, CA"
1931,34832.23349197732,"Alameda, CA"
1932,34463.35411434603,"Alameda, CA"
1933,34016.326402211256,"Alameda, CA"
1934,33581.11489067811,"Alameda, CA"
1935,33247.68411485171,"Alameda, CA"
